ID,pKa_pred,pKa_real
3m6p,8.728,8.350
3m6q,7.884,7.320
3m89,5.916,6.160
3m93,6.105,6.620
3m94,4.822,5.080
3mag,3.817,4.070
3mbp,6.472,6.800
3mbz,6.225,5.800
3mct,3.855,4.070
3me9,6.435,6.300
3mea,6.115,6.300
3met,5.733,6.000
3meu,6.244,6.300
3mg4,9.048,9.300
3mg6,7.865,7.890
3mj1,7.670,7.820
3mke,5.468,5.660
3mkf,4.825,4.770
3mkn,3.981,4.120
3ml4,5.169,5.330
3mle,5.130,5.240
3mmr,5.474,4.960
3mn8,6.350,6.170
3mnu,7.314,7.320
3mo8,3.067,3.100
3moe,4.420,4.300
3moh,3.023,2.840
3mp1,6.021,6.100
3mp6,5.649,5.960
3mtw,6.930,7.040
3muf,6.194,6.490
3muk,3.395,3.420
3mwe,1.672,1.540
3mxc,6.481,6.540
3mxr,5.016,4.950
3mxs,5.160,5.010
3mxy,6.751,6.410
3mz3,8.052,7.830
3n0h,6.352,6.210
3n23,8.226,8.520
3n2c,5.344,5.120
3n2e,5.222,4.960
3n5e,6.889,6.820
3n5u,6.320,5.920
3n75,7.670,7.890
3n7h,4.427,4.500
3n7r,7.655,7.700
3n7s,7.642,7.700
3n87,5.253,4.960
3n8n,4.983,4.570
3nba,3.472,3.410
3ncq,5.672,5.360
3ncr,4.254,4.110
3nf3,6.247,6.200
3nfk,3.794,3.800
3nfl,4.356,4.380
3njq,4.828,4.890
3nk8,3.168,3.000
3nkx,5.324,5.120
3nm6,1.722,1.350
3nmq,9.115,9.700
3nrz,5.418,5.340
3nsq,5.161,5.210
3nth,4.467,4.320
3ny3,4.470,4.710
3nyn,6.361,6.000
3o0e,6.051,5.740
3o0g,6.312,6.220
3o0j,7.248,7.190
3o1d,5.929,5.740
3o1e,6.069,5.740
3o2m,4.471,4.800
3o3j,6.643,6.400
3o4l,5.445,5.090
3o64,10.138,9.400
3o6l,7.236,7.510
3o6m,7.754,7.480
3o9b,12.084,12.300
3o9c,11.690,12.050
3o9f,12.012,12.700
3o9g,11.694,12.300
3o9h,11.683,12.100
3oap,6.528,6.260
3oaw,8.292,8.150
3obq,3.489,3.540
3obu,4.361,4.300
3obx,4.324,3.890
3od0,7.992,7.920
3odi,7.571,7.820
3odl,7.486,7.210
3ogm,7.417,7.320
3ogx,6.494,6.480
3oj8,8.830,8.360
3oka,4.596,4.720
3okc,4.230,4.440
3okp,4.374,4.720
3okv,6.213,6.230
3ole,7.337,7.830
3olg,7.586,7.840
3oli,6.956,7.380
3omc,5.014,5.000
3omg,4.609,4.720
3oob,4.856,4.670
3opp,6.362,6.280
3opr,6.920,6.590
3oq5,4.454,4.550
3orn,9.647,9.620
3otf,5.982,6.080
3oxc,8.314,8.410
3oys,8.691,8.050
3p0g,10.438,10.080
3p2h,5.383,5.440
3p2k,4.784,4.700
3p3h,7.637,7.440
3p3j,8.088,7.920
3p44,8.221,8.010
3p4f,5.954,5.660
3p4q,6.413,6.520
3p4r,2.304,2.720
3p55,7.434,7.100
3p8h,5.366,5.300
3p9h,5.246,5.060
3p9t,6.386,6.200
3pab,4.841,4.700
3pb3,6.206,6.220
3pcb,2.401,2.400
3pcc,3.839,3.620
3pch,5.449,5.400
3pcu,5.397,5.290
3pd2,5.235,5.470
3pd3,4.190,4.440
3pd4,4.197,4.480
3pdh,7.275,6.740
3pjg,3.820,3.550
3pjt,4.915,4.880
3pkn,4.806,4.660
3plu,5.882,5.770
3pm1,5.547,5.930
3pma,5.842,5.400
3pn3,6.776,6.400
3poa,7.218,7.000
3ppo,5.168,5.300
3pqz,4.921,4.460
3pr0,9.481,9.540
3prz,7.809,7.590
3ps6,7.888,7.740
3psl,7.059,6.890
3pty,5.450,5.440
3puj,4.555,4.510
3puk,4.700,4.740
3pwh,8.565,8.720
3pxe,5.863,5.700
3pxq,4.626,4.430
3q2a,5.021,5.300
3q2m,4.138,3.800
3q43,7.763,7.370
3q4j,6.525,6.210
3q4k,7.149,7.050
3q4l,7.205,7.260
3q5u,4.477,4.310
3q6k,8.171,8.370
3q6s,6.485,6.740
3q72,6.023,5.800
3q7p,5.748,5.800
3q8d,6.995,7.220
3q8h,4.245,4.150
3qak,8.147,8.320
3qc9,5.895,6.060
3qce,5.872,5.600
3qcf,5.808,5.600
3qel,6.254,6.490
3qem,6.952,7.220
3qin,6.793,6.870
3qio,6.840,6.840
3qip,6.912,6.890
3qiy,5.282,5.340
3qiz,5.269,5.210
3qj0,5.149,5.200
3qk0,9.099,8.700
3ql9,6.196,6.300
3qlb,8.586,8.430
3qlc,5.493,5.430
3qmk,6.186,6.100
3qn7,6.934,6.800
3qnd,5.253,4.850
3qnj,5.982,6.000
3qo2,7.166,6.850
3qo3,6.966,6.900
3qs1,8.037,7.960
3qs4,4.723,4.680
3qs5,4.815,4.710
3qs6,5.122,4.890
3qs8,4.703,4.740
3qt7,7.105,7.310
3que,8.747,8.820
3qvu,3.636,3.550
3qvv,4.374,4.420
3qx8,3.018,2.860
3qxc,5.788,5.770
3qxd,6.230,6.150
3qxh,5.410,5.240
3qxm,7.614,7.480
3qyy,5.099,5.080
3qzt,3.682,4.000
3qzv,4.043,4.160
3r0h,6.046,5.920
3r42,4.107,4.080
3r5m,4.408,4.340
3r5n,5.536,5.780
3r6c,4.701,4.720
3r8i,5.408,5.350
3r93,6.884,6.510
3rbm,6.560,6.570
3rbq,6.094,6.270
3rdv,5.080,4.910
3rey,7.777,8.000
3ri1,5.246,5.300
3rj7,7.843,7.600
3rjw,7.817,7.570
3rl7,4.606,4.740
3rl8,6.276,5.980
3rqe,5.034,4.770
3rqf,4.680,4.410
3rqg,4.693,4.640
3rqw,2.829,2.700
3rsb,6.337,6.400
3rse,6.907,7.000
3rsr,4.257,4.360
3rt4,8.859,8.800
3rt6,7.027,7.150
3rth,5.071,5.210
3rti,7.159,7.370
3rtm,4.725,4.420
3rtx,4.169,3.860
3rup,1.584,1.570
3rv6,4.672,4.680
3rv7,4.890,4.850
3rv9,4.964,4.920
3rw9,6.224,5.960
3rwq,7.615,7.460
3rx5,6.052,6.270
3rx7,5.964,6.030
3rx8,5.797,6.210
3ry8,3.537,3.340
3ryw,6.484,6.240
3rz9,6.934,6.920
3rzi,5.385,5.330
3s1g,4.615,5.190
3s3k,4.176,4.010
3s3v,6.360,6.230
3s53,9.644,9.640
3s56,9.529,9.620
3s74,8.489,8.400
3s7b,6.593,6.300
3s7f,5.417,5.430
3s8x,7.584,7.300
3s9t,6.908,6.820
3s9y,6.651,6.440
3sap,8.047,7.590
3sax,6.686,6.570
3sbh,7.366,7.280
3sbi,8.152,7.920
3sh1,7.132,7.390
3shb,5.914,6.030
3shj,7.583,7.470
3shv,6.542,6.660
3sjt,6.617,6.060
3skk,4.535,4.470
3sl0,3.063,2.700
3sl1,4.108,3.590
3sm0,5.888,6.130
3sm1,6.310,5.840
3smq,4.999,5.020
3sn8,5.386,5.650
3sna,3.960,4.140
3snb,4.448,4.380
3snc,4.378,4.390
3snd,5.022,5.080
3so6,5.490,5.390
3sou,5.750,5.680
3sow,5.115,5.140
3srg,5.737,5.700
3st6,3.829,3.620
3stj,4.996,4.800
3sud,9.998,9.850
3sv9,5.014,5.000
3svj,6.967,6.930
3sw2,8.613,8.330
3sw9,5.593,5.380
3sx4,8.161,8.520
3sx9,9.230,8.890
3sxu,4.931,5.050
3sym,4.611,4.570
3syr,5.359,5.100
3szm,6.332,6.400
3t03,6.658,6.800
3t0w,6.787,7.300
3t19,9.006,8.660
3t1l,3.357,3.260
3t1n,6.032,6.100
3t2c,4.564,4.600
3t2p,3.654,3.600
3t2t,2.344,2.400
3t2v,7.125,6.990
3t3d,4.640,4.910
3t3e,6.288,5.990
3t3g,5.210,5.490
3t3h,5.698,5.710
3t3i,5.039,4.770
3t3v,8.788,8.520
3t4n,4.405,4.140
3t4p,5.105,5.190
3t5i,7.223,6.820
3t6j,6.698,6.360
3t6r,5.587,5.660
3t6y,5.705,5.520
3t7g,5.548,5.200
3t8s,8.889,8.550
3t8w,7.594,7.540
3tam,8.172,8.430
3tc5,5.024,5.170
3tcp,8.718,8.370
3tct,8.411,8.520
3tcy,4.805,4.620
3tdh,4.020,4.260
3tdj,5.453,5.250
3tdu,5.914,5.670
3tdz,6.867,6.820
3te5,5.092,4.910
3tf7,4.031,3.520
3tfk,5.333,5.010
3tfv,7.078,7.100
3tg5,4.704,4.700
3tgs,5.418,5.390
3th0,4.235,4.120
3tiw,6.878,7.670
3tjh,5.698,5.410
3tjm,5.209,5.200
3tkz,5.996,5.920
3tl0,6.438,6.590
3tlh,8.896,8.820
3tll,4.170,4.390
3tne,6.289,5.720
3tpu,4.408,4.320
3tpx,9.563,9.350
3tsd,3.565,3.660
3tsz,4.626,4.460
3ttn,7.266,7.840
3tu1,6.646,6.600
3tv5,5.427,5.320
3tvl,4.298,4.000
3tvw,4.336,4.430
3tvx,3.856,4.140
3twr,5.134,5.190
3tws,5.093,5.520
3twu,5.571,5.620
3twv,4.821,4.760
3tww,5.713,5.380
3twx,5.496,5.260
3tz2,5.569,5.240
3tz4,5.413,5.490
3tzd,4.427,4.280
3u0d,9.803,10.000
3u0p,5.908,5.680
3u0t,9.544,9.520
3u15,7.332,7.110
3u1i,5.214,5.250
3u2q,8.525,8.220
3u3f,5.030,5.100
3u3u,6.604,6.880
3u3z,5.393,5.360
3u6w,6.723,6.920
3u7k,6.904,7.070
3u7l,6.971,7.280
3u7m,7.311,7.450
3u7n,7.525,7.950
3u7s,8.286,8.430
3u8m,8.903,8.890
3u9c,5.920,5.890
3u9n,7.551,7.000
3ual,5.865,5.810
3uat,6.403,6.660
3ubx,7.706,7.600
3ud5,4.170,3.820
3ud7,4.919,4.740
3ud8,5.113,5.380
3ud9,4.597,4.670
3uda,4.891,5.010
3uec,4.322,4.210
3ued,4.502,4.530
3uef,4.441,4.680
3ueo,4.079,4.030
3uf9,2.211,2.110
3ufa,4.887,5.000
3ui2,6.530,6.370
3uib,6.614,6.800
3uig,5.630,5.320
3uih,4.117,3.920
3uii,5.048,5.000
3uij,4.736,4.700
3uik,5.114,4.970
3ujb,5.139,5.100
3umo,3.650,3.890
3ump,2.658,2.990
3unn,4.523,4.400
3upx,8.124,8.120
3upz,5.060,5.600
3uqf,4.520,4.700
3uqg,4.655,5.000
3usn,6.493,6.150
3ut5,5.994,5.740
3uvk,7.033,6.800
3uvl,5.878,5.690
3uvm,7.575,7.520
3uvn,6.764,6.590
3uvo,7.248,7.000
3uvq,7.981,7.770
3uvu,7.433,7.380
3uvw,5.512,5.170
3uvx,4.492,4.340
3uw9,4.587,4.560
3uwl,3.681,3.680
3ux0,6.409,6.260
3uxg,3.963,3.960
3uza,8.587,8.940
3uzc,9.601,9.610
3uzd,5.139,5.050
3v0l,5.703,5.520
3v0p,6.329,6.280
3v2o,5.245,5.310
3v2w,6.615,7.110
3v2x,5.518,5.350
3v30,3.751,3.740
3v31,5.821,5.800
3v3b,7.128,7.260
3v3l,6.625,6.430
3v43,4.643,4.630
3v4x,5.920,6.150
3v7c,5.703,5.740
3v7d,6.579,6.390
3v7s,7.270,7.050
3v7t,7.561,7.210
3va4,4.431,4.400
3vd7,4.535,4.480
3vdc,4.687,4.920
3vfj,7.317,7.040
3vfq,5.341,5.190
3vvz,4.727,4.580
3vw0,4.533,4.670
3vw7,8.361,8.100
3vws,3.793,3.650
3vzg,1.875,1.720
3w0l,6.882,7.020
3wb4,4.327,4.440
3wb5,4.537,4.570
3wdc,8.083,7.920
3wdd,6.630,6.110
3wde,7.226,6.910
3wdz,7.403,6.920
3wig,8.689,8.640
3wmb,5.461,5.370
3wp0,5.084,4.990
3wp1,4.963,4.850
3wq5,4.029,3.850
3wq6,4.763,4.590
3wqm,5.825,6.250
3wqv,5.373,5.210
3wqw,5.179,5.230
3wsy,6.315,6.360
3wth,6.253,6.290
3wti,5.922,5.900
3wtk,6.706,6.530
3wut,6.915,6.490
3wuu,5.325,5.140
3wuv,5.187,5.170
3wzp,6.806,6.820
3wzq,6.126,6.230
3x1k,3.769,3.590
3zcw,6.269,6.190
3zcz,6.767,6.770
3zev,8.733,8.640
3zh8,6.465,6.470
3zha,6.110,6.000
3zhf,4.081,3.920
3zhz,7.454,7.050
3zj8,3.820,3.900
3zjc,5.327,5.050
3zke,6.820,6.800
3zkf,5.917,6.020
3zmm,9.405,9.140
3zmt,4.822,4.550
3zmu,4.277,4.300
3zmv,4.221,4.260
3zmz,4.907,4.740
3zn0,4.859,4.970
3zn1,4.542,4.540
3zos,9.387,8.890
3zp9,8.038,7.820
3zpq,6.860,7.170
3zpr,6.619,6.650
3zpt,8.499,8.510
3zqi,7.224,7.190
3zrc,5.311,5.270
3zsw,2.506,2.700
3zsz,2.571,2.700
3zt1,2.629,2.700
3zt4,2.841,2.800
3ztc,4.135,4.560
3ztd,3.876,4.020
3zuk,7.477,7.460
3zvy,5.033,5.100
3zxe,3.594,3.350
3zy2,6.723,6.460
3zy5,7.056,6.640
3zyb,6.151,5.380
3zyh,4.678,4.290
3zyr,5.216,5.340
3zzf,1.125,0.400
4a0j,6.325,6.000
4a1w,7.403,7.300
4a2a,4.460,4.350
4a4c,4.212,3.610
4a4e,3.150,3.320
4a4f,2.805,2.880
4a4g,3.015,2.990
4a4h,2.689,2.770
4a50,7.546,7.910
4a51,6.981,6.730
4a7j,6.976,7.000
4aa1,4.336,4.120
4aa2,4.089,3.970
4ab8,4.181,3.870
4abi,7.915,8.200
4abj,7.556,7.470
4abk,6.001,5.720
4acd,8.218,8.310
4acg,10.102,9.660
4ach,7.546,7.660
4acm,7.064,6.680
4afh,9.788,9.540
4aft,6.283,6.470
4agd,9.101,8.410
4ah9,2.874,2.460
4ahv,2.193,1.820
4aif,4.870,4.840
4aj1,3.183,3.110
4aj2,2.469,2.380
4ajk,3.240,3.110
4ajn,7.527,7.160
4ajo,7.225,7.030
4al4,6.882,6.890
4amw,1.512,1.550
4amx,2.029,2.190
4aoc,4.441,4.270
4aom,7.269,7.070
4ap0,8.233,8.000
4aph,5.536,5.400
4apo,4.817,4.910
4aro,6.526,6.800
4as9,4.666,4.790
4au7,4.886,4.760
4auy,7.421,7.740
4av0,6.814,6.980
4avt,8.297,8.060
4aw8,7.515,7.660
4awj,1.911,2.000
4axm,7.767,7.890
4ay5,5.719,6.270
4ay6,5.060,5.120
4ayr,7.017,7.000
4ayt,3.871,3.700
4ayv,9.449,9.170
4ayw,3.997,4.000
4ayx,3.670,3.700
4ayy,8.579,8.170
4az2,7.323,7.330
4aza,6.893,6.990
4aze,7.880,8.110
4azf,6.315,6.350
4b05,7.969,7.580
4b0c,2.461,2.070
4b0j,2.373,2.150
4b2d,3.896,3.700
4b4n,3.464,3.440
4b4q,5.631,5.750
4b60,5.537,5.430
4b6q,7.323,7.550
4b6u,5.448,5.110
4b7n,9.144,8.780
4b7q,9.936,9.740
4b8o,8.036,8.400
4b8p,7.094,6.850
4b9h,5.178,5.350
4b9w,3.980,4.170
4ba3,5.550,5.540
4bb2,6.352,7.070
4bbg,8.132,8.320
4bbh,7.164,7.100
4bcf,8.473,8.150
4bcg,8.091,8.150
4bch,7.439,7.660
4bci,8.178,8.220
4bcj,7.816,7.960
4bcq,7.037,6.830
4bcw,3.548,4.000
4bd3,4.494,4.540
4bds,7.355,7.600
4bea,8.220,8.300
4bg6,7.051,7.160
4bgx,1.732,1.770
4bgy,2.590,2.960
4bh3,1.623,1.920
4bh4,1.349,1.490
4bkj,9.002,8.720
4blb,5.235,5.350
4bqt,5.782,5.790
4bt9,3.857,3.840
4btb,4.966,5.010
4btm,5.380,5.390
4bv2,3.920,3.740
4bvb,4.188,4.480
4bxk,8.232,7.950
4bxn,7.923,8.000
4bxu,7.087,7.000
4bzs,7.394,7.120
4c0r,4.790,4.910
4c16,4.426,4.960
4c1m,7.679,7.800
4c1w,8.921,9.410
4c3k,4.988,4.970
4c4n,6.203,6.100
4c6v,4.617,4.590
4c6x,3.687,3.760
4c6z,3.506,3.450
4c70,3.494,3.520
4c71,3.533,3.420
4c72,5.724,5.090
4c73,5.034,4.920
4c94,5.084,5.050
4c9w,6.281,6.110
4ca4,6.931,7.180
4cae,7.464,7.740
4caf,6.834,7.120
4cc2,4.338,4.330
4cc3,4.375,4.140
4cc7,4.332,4.330
4cd1,4.986,4.890
4cd6,3.641,3.590
4cd8,2.831,2.890
4ce1,4.674,4.380
4ce2,4.033,3.840
4ce3,4.235,3.960
4cfe,6.717,7.220
4cff,5.891,6.400
4cft,5.180,4.950
4cgj,2.750,2.840
4ch2,6.156,5.990
4ch8,6.093,5.990
4ci1,6.629,6.600
4ci2,6.697,6.750
4ci3,6.828,6.810
4civ,4.905,4.950
4cix,4.367,4.470
4ciy,4.594,4.570
4ciz,7.066,7.290
4cjn,5.041,4.760
4cki,5.615,5.960
4ckj,4.669,4.840
4clp,1.512,1.270
4cmt,9.869,9.700
4cmu,9.797,9.700
4cnh,8.393,8.400
4cpq,7.285,7.740
4cpu,7.171,7.530
4cpx,7.346,7.770
4cq0,4.956,5.090
4crd,7.556,7.100
4crj,6.166,5.960
4csy,3.051,3.060
4cts,4.903,5.000
4cu1,4.805,4.710
4cwb,6.466,6.090
4cy1,6.951,6.740
4d1a,4.520,4.720
4d1b,4.253,4.440
4d1c,5.804,5.700
4d1d,6.040,5.740
4d1y,7.002,7.130
4d52,3.572,3.110
4d62,2.448,2.440
4d63,1.646,1.640
4dai,6.262,6.960
4dcv,4.646,4.590
4dcx,4.596,4.500
4dcy,4.605,4.520
4dds,4.641,5.010
4ddy,5.424,5.620
4de3,5.618,5.520
4dfb,4.454,4.600
4dfu,4.457,4.600
4dgb,3.740,3.890
4dj7,5.947,6.300
4djh,9.219,9.490
4dk5,8.783,8.400
4dkt,4.728,4.800
4dli,5.253,5.620
4dlj,5.781,5.920
4dma,6.411,6.190
4dn0,5.720,5.720
4dow,5.021,5.020
4dpt,6.947,7.300
4dpu,7.242,7.300
4dpy,5.376,5.370
4dru,8.834,8.620
4ds1,5.061,4.750
4dt2,4.690,4.370
4du8,5.247,5.370
4dve,9.610,9.520
4dx9,5.278,5.300
4dxg,6.975,7.060
4e0w,7.466,7.480
4e28,5.684,5.890
4e34,6.237,6.010
4e35,4.782,4.620
4e3b,6.379,6.050
4e3h,6.787,7.050
4e49,4.974,5.110
4e5i,5.189,5.300
4e5j,4.802,4.730
4e81,5.108,5.240
4ea1,6.064,6.440
4ear,10.060,9.820
4edu,3.799,3.990
4ef4,5.625,5.350
4ej2,2.265,2.490
4eke,4.265,4.480
4ekg,9.213,8.770
4eki,10.454,10.000
4eky,3.401,3.520
4el0,4.428,4.490
4el5,5.574,5.370
4elb,8.329,8.300
4ele,7.839,7.880
4emt,4.958,5.300
4eo4,6.670,6.350
4eoi,6.331,6.050
4eok,5.307,5.070
4eol,6.230,6.050
4eon,6.236,6.050
4eop,6.285,6.050
4eos,6.357,6.050
4eoy,6.836,6.490
4eqf,6.879,6.810
4er4,6.836,6.800
4erq,7.073,7.120
4ery,7.456,7.270
4erz,7.360,7.060
4es0,7.226,6.990
4esg,5.628,5.560
4eu3,1.067,0.820
4euc,6.220,6.100
4euv,6.240,6.300
4ewh,9.807,9.520
4ewr,6.697,6.270
4ezo,6.650,6.520
4ezq,5.348,5.200
4ezt,5.357,5.130
4ezw,6.140,6.000
4ezy,5.797,5.650
4f08,6.587,6.600
4f14,4.845,4.890
4f1q,4.794,4.950
4f1s,8.918,8.700
4f20,3.563,3.290
4f3i,7.405,7.440
4f6s,5.438,5.490
4f70,6.036,5.740
4f7j,5.326,5.240
4f7l,8.277,8.000
4f7n,7.330,7.100
4f8j,4.957,5.070
4f9g,5.817,5.620
4f9v,5.951,6.030
4fab,7.983,8.060
4fak,4.426,4.280
4fbe,7.213,6.990
4fbx,7.733,7.660
4fcf,8.937,8.620
4fci,1.234,1.260
4fck,1.237,1.260
4fcm,3.899,3.940
4fcr,9.389,9.400
4fe6,9.585,10.000
4fe9,2.888,3.000
4fea,6.624,6.470
4fem,4.145,4.060
4fgt,5.368,5.410
4fi9,7.351,7.340
4fil,7.483,7.470
4fiv,6.536,6.520
4fkk,9.221,9.300
4fl3,3.775,3.820
4flh,9.185,9.000
4fmn,6.189,6.100
4fmo,5.713,5.530
4fmq,4.908,5.050
4fmu,6.422,6.440
4fn5,7.038,6.760
4fns,6.534,6.700
4fqo,5.148,5.160
4fr3,7.050,7.150
4frs,9.370,8.770
4fse,7.253,7.400
4ft2,5.688,5.640
4fut,6.191,6.510
4fvq,5.945,6.000
4fvr,5.905,6.000
4fxy,7.675,7.540
4fxz,7.314,7.030
4fyh,4.642,4.850
4g0a,7.876,7.600
4g0c,8.023,7.920
4g0k,5.638,5.370
4g0l,5.350,5.190
4g2r,4.783,4.450
4g3e,8.680,8.380
4g3f,8.532,8.360
4g3g,8.537,8.430
4g5y,3.171,2.770
4g68,7.710,7.920
4g69,6.245,5.980
4g8l,8.784,8.000
4g8o,7.827,7.660
4g8r,7.808,7.660
4g93,3.711,3.520
4gao,5.792,5.740
4gby,3.304,3.460
4gbz,3.348,3.110
4ge4,8.572,8.110
4ge6,7.900,7.470
4ge7,7.839,8.150
4ge9,8.630,8.800
4gee,8.865,9.000
4gfd,9.437,9.480
4gfn,8.441,8.300
4ggl,9.040,9.000
4giu,5.149,5.330
4gj8,3.131,3.300
4gk7,7.782,7.900
4glw,5.842,6.100
4gly,5.210,5.110
4gmy,7.576,7.550
4gpk,7.518,7.520
4gpl,5.911,5.890
4gq6,7.435,7.280
4gs9,5.548,5.660
4gui,3.349,3.640
4guj,2.883,3.050
4gv8,6.755,6.490
4gvc,4.666,4.710
4gvd,4.655,4.570
4gw1,6.470,6.370
4gw5,5.512,5.460
4gwi,3.625,3.690
4gwk,3.394,3.340
4gxl,5.286,5.280
4gy5,6.889,6.820
4h1e,8.548,8.520
4h3i,8.251,8.520
4h3q,5.008,5.100
4h4b,3.181,2.700
4h5e,6.368,6.070
4hbn,5.922,6.100
4hcz,4.216,4.440
4hev,6.179,6.340
4hfz,5.693,5.720
4hgc,10.140,10.000
4hiq,8.321,8.210
4his,8.168,8.090
4hmk,6.076,6.100
4hmq,8.133,8.240
4hnc,2.900,3.170
4hnn,5.638,5.700
4hod,6.040,6.100
4hpy,9.864,9.920
4hra,10.530,10.100
4hs6,7.939,7.520
4hs8,7.998,7.920
4hso,4.650,4.660
4ht6,6.157,6.210
4htp,5.751,5.620
4hva,6.014,5.890
4hvb,9.670,9.950
4hw2,7.238,7.260
4hwb,8.352,9.240
4hwr,6.914,6.740
4hwt,4.761,4.300
4hxj,4.480,4.130
4hxw,8.754,8.700
4hxz,6.145,6.050
4hy9,7.548,7.100
4hyb,6.737,6.460
4hz5,5.665,5.920
4i1r,4.541,4.650
4i2w,3.790,3.920
4i2z,4.927,4.870
4i47,6.736,6.920
4i5h,9.066,8.700
4i60,5.885,5.730
4i67,6.583,6.350
4i73,6.839,6.720
4i80,7.579,7.620
4i9c,5.384,5.510
4i9r,6.761,6.950
4i9s,6.251,6.790
4iaw,10.226,9.630
4iax,9.483,9.560
4ib5,6.086,6.250
4ifi,5.439,5.480
4igk,4.717,4.550
4igq,4.441,4.520
4igr,7.288,7.200
4iho,5.282,5.100
4ijh,4.264,4.330
4ijl,3.793,3.870
4ijq,7.739,7.520
4ikn,4.862,4.850
4io8,6.877,6.640
4iq6,6.875,7.240
4irx,6.304,6.120
4iu0,6.024,5.890
4iu1,4.210,4.300
4iu4,4.792,5.000
4iur,5.544,5.580
4iut,5.914,5.720
4iuu,5.647,5.650
4iuv,5.555,5.720
4izm,6.544,6.660
4j03,6.568,7.590
4j09,4.813,4.770
4j24,7.580,7.300
4j26,5.583,5.440
4j2c,5.384,5.250
4j2t,7.989,7.960
4j3u,6.007,6.340
4j73,4.627,4.560
4j74,4.627,4.590
4j77,5.475,5.470
4j78,4.663,4.650
4j79,3.103,3.100
4j7i,5.250,5.060
4j81,4.365,4.500
4j82,4.371,4.350
4j84,4.637,4.690
4j86,3.847,3.770
4j8b,4.969,4.790
4j8g,4.352,4.190
4j8r,8.291,7.700
4j8s,5.304,5.700
4j8t,7.009,6.770
4j9a,8.174,8.220
4jaz,5.711,5.040
4jbl,3.368,3.270
4jc1,4.519,4.300
4jck,2.751,2.370
4jdf,2.531,2.190
4jfd,4.466,4.440
4jfe,4.555,4.510
4jff,9.045,9.220
4jfi,4.546,4.740
4jfj,5.763,5.680
4jfl,5.028,4.980
4jft,5.598,5.460
4jfv,6.440,6.280
4jfw,6.313,6.340
4jfx,6.527,6.440
4jfz,7.762,7.150
4jg0,7.024,6.760
4jg1,6.692,6.630
4jgv,6.560,6.570
4jhz,5.816,6.020
4jin,5.474,5.640
4jit,6.527,6.640
4jiz,5.526,5.620
4jjm,7.728,7.570
4jjq,5.172,5.030
4jk5,7.511,7.550
4jk6,7.294,7.190
4jls,5.720,5.660
4jmg,8.848,8.820
4jmh,8.852,8.680
4jn4,5.981,5.860
4jnj,9.396,9.070
4joe,3.781,3.560
4jof,4.166,4.170
4jog,3.867,3.720
4joh,3.577,3.350
4joj,4.093,3.960
4jok,4.338,4.070
4jr0,8.688,8.200
4jv6,6.516,6.660
4jv8,5.531,5.850
4jvb,7.359,7.410
4jxv,4.920,4.510
4jxw,5.021,4.720
4jyu,8.478,8.000
4jyv,7.730,7.770
4jzb,6.444,6.470
4k0u,7.131,7.260
4k10,6.779,6.920
4k1b,11.961,11.520
4k1e,8.781,8.440
4k3m,3.478,3.550
4k3o,4.385,4.440
4k3p,6.118,5.800
4k3q,3.954,3.940
4k3r,3.602,3.590
4k42,6.547,6.550
4k43,7.049,6.880
4k5l,5.171,4.960
4k5m,3.372,3.710
4k5n,3.767,3.900
4k5o,3.954,3.980
4k5y,8.613,8.170
4k6t,4.310,4.100
4k6u,4.210,4.140
4k6y,4.997,4.830
4k6z,8.329,8.700
4k72,3.035,3.000
4k75,4.321,4.250
4k76,5.228,5.350
4k78,4.646,4.790
4k8a,3.833,4.020
4k8o,3.587,3.770
4kab,4.172,4.030
4kby,6.792,6.730
4kii,6.138,6.230
4kij,4.254,4.300
4kiw,5.138,5.120
4kln,7.625,7.700
4klv,3.629,3.780
4kmd,5.381,5.410
4kn2,6.867,7.270
4kne,5.919,5.900
4knz,5.082,5.070
4kod,5.483,5.360
4kom,6.451,7.000
4kon,6.572,6.480
4kot,5.571,5.460
4kov,3.643,3.750
4kox,4.768,4.770
4kp0,8.719,8.650
4kp4,5.400,5.170
4ks2,9.545,9.340
4ks3,6.388,6.370
4ks5,7.404,6.890
4ksp,8.806,8.800
4ktu,6.034,6.160
4kup,5.174,5.220
4kv9,3.838,3.840
4kva,4.219,3.940
4kvm,5.055,5.050
4kww,5.807,5.550
4kxl,6.097,6.220
4kxm,5.631,5.590
4kz5,1.978,2.000
4kz8,2.887,2.800
4kza,3.646,3.700
4kzb,2.927,2.890
4l1u,5.682,5.260
4l3o,6.167,6.000
4l58,4.631,4.680
4l5j,3.107,3.000
4lbl,5.056,4.960
4lbo,5.654,5.770
4lbp,4.697,4.940
4led,2.386,2.300
4len,7.310,7.400
4lg6,6.529,6.740
4lh2,1.335,1.240
4lh3,1.608,1.520
4li0,6.632,6.590
4lil,4.609,4.900
4lj3,8.678,9.000
4lk6,5.143,5.200
4lkd,5.537,5.350
4lke,5.329,5.370
4lkf,5.169,5.370
4lkg,6.648,6.800
4lkh,2.599,3.000
4lkj,6.427,6.700
4lkt,5.679,5.900
4lmn,10.486,10.300
4ln2,3.717,3.610
4lno,2.733,2.620
4lnp,3.792,3.670
4lnw,6.441,7.040
4loj,6.972,6.520
4lop,7.932,8.150
4loq,8.114,8.150
4lp6,8.695,8.270
4lpf,4.432,3.510
4lpg,4.239,4.250
